Fecha,Ordenes completas
8/1/2023,118
8/2/2023,35
8/3/2023,119
8/4/2023,119
8/7/2023,92
8/8/2023,119
8/9/2023,127
8/10/2023,242
8/11/2023,100
8/14/2023,117
8/15/2023,163
8/16/2023,70
8/17/2023,77
8/18/2023,21
8/21/2023,72
8/22/2023,91
8/23/2023,30
8/24/2023,134
8/25/2023,186
8/28/2023,99
8/29/2023,105
8/30/2023,109
8/31/2023,128
9/1/2023,41
9/4/2023,124
9/5/2023,128
9/6/2023,101
9/7/2023,46
9/8/2023,126
9/9/2023,25
9/11/2023,33
9/12/2023,324
9/13/2023,155
9/14/2023,163
9/15/2023,100
9/16/2023,18
9/18/2023,82
9/19/2023,80
9/20/2023,103
9/21/2023,181
9/22/2023,81
9/23/2023,3
9/25/2023,80
9/26/2023,182
9/27/2023,57
9/28/2023,67
9/29/2023,67
9/30/2023,4
10/2/2023,137
10/3/2023,53
10/4/2023,105
10/5/2023,69
10/6/2023,91
10/7/2023,8
10/9/2023,39
10/10/2023,192
10/11/2023,157
10/12/2023,114
10/13/2023,87
10/16/2023,131
10/17/2023,319
10/18/2023,204
10/19/2023,130
10/20/2023,32
10/21/2023,32
10/23/2023,49
10/24/2023,96
10/25/2023,50
10/26/2023,89
10/27/2023,223
10/28/2023,2
10/30/2023,213
10/31/2023,139
11/1/2023,151
11/2/2023,189
11/3/2023,45
11/4/2023,25
11/6/2023,180
11/7/2023,324
11/8/2023,97
11/9/2023,141
11/10/2023,141
11/13/2023,215
11/14/2023,226
11/15/2023,178
11/16/2023,183
11/17/2023,81
11/21/2023,85
11/22/2023,149
11/23/2023,154
11/24/2023,206
11/27/2023,178
11/28/2023,175
11/29/2023,113
11/30/2023,196
12/1/2023,170
12/2/2023,2
12/4/2023,180
12/5/2023,73
12/6/2023,154
12/7/2023,258
12/8/2023,192
12/9/2023,6
12/11/2023,112
12/12/2023,151
12/13/2023,136
12/14/2023,225
12/15/2023,136
12/18/2023,67
12/19/2023,50
12/20/2023,158
12/21/2023,364
12/22/2023,292
12/26/2023,150
12/27/2023,139
12/28/2023,182
12/29/2023,115
12/30/2023,46
1/2/2024,32
1/3/2024,56
1/4/2024,139
1/5/2024,57
1/6/2024,31
1/8/2024,47
1/9/2024,181
1/10/2024,49
1/11/2024,185
1/12/2024,221
1/15/2024,149
1/16/2024,293
1/17/2024,205
1/18/2024,189
1/19/2024,180
1/20/2024,8
1/22/2024,199
1/23/2024,180
1/24/2024,142
1/25/2024,179
1/26/2024,83
1/29/2024,165
1/30/2024,218
1/31/2024,52
2/1/2024,75
2/2/2024,65
2/6/2024,181
2/7/2024,261
2/8/2024,416
2/9/2024,178
2/12/2024,56
2/13/2024,119
2/14/2024,141
2/15/2024,251
2/16/2024,177
2/19/2024,66
2/20/2024,212
2/21/2024,111
2/22/2024,306
2/23/2024,111
2/26/2024,62
2/27/2024,125
2/28/2024,64
2/29/2024,142
3/1/2024,176
3/4/2024,147
3/5/2024,320
3/6/2024,167
3/7/2024,131
3/8/2024,91
3/11/2024,75
3/12/2024,80
3/13/2024,232
3/14/2024,91
3/15/2024,157
3/19/2024,78
3/20/2024,162
3/21/2024,58
3/22/2024,170
3/25/2024,55
3/26/2024,155
3/27/2024,76
3/28/2024,124
3/29/2024,39
3/30/2024,2
3/31/2024,8
4/1/2024,107
4/2/2024,146
4/3/2024,196
4/4/2024,63
4/5/2024,127
4/6/2024,11
4/8/2024,176
4/9/2024,229
4/10/2024,305
4/11/2024,17
4/12/2024,76
4/15/2024,152
4/16/2024,210
4/17/2024,160
4/18/2024,142
4/19/2024,254
4/20/2024,19
4/21/2024,53
4/22/2024,165
4/23/2024,56
4/24/2024,148
4/25/2024,90
4/26/2024,116
4/27/2024,24
4/29/2024,222
4/30/2024,83
5/2/2024,160
5/3/2024,135
5/4/2024,1
5/6/2024,102
5/7/2024,166
5/8/2024,95
5/9/2024,47
5/10/2024,105
5/11/2024,45
5/12/2024,3
5/13/2024,288
5/14/2024,163
5/15/2024,198
5/16/2024,100
5/17/2024,201
5/18/2024,38
5/19/2024,40
5/20/2024,91
5/21/2024,63
5/22/2024,47
5/23/2024,198
5/24/2024,61
5/25/2024,93
5/27/2024,70
5/28/2024,229
5/29/2024,191
5/30/2024,72
5/31/2024,303
6/2/2024,26
6/3/2024,194
6/4/2024,137
6/5/2024,74
6/6/2024,111
6/7/2024,71
6/8/2024,3
6/9/2024,12
6/10/2024,129
6/11/2024,136
6/12/2024,106
6/13/2024,103
6/14/2024,259
6/16/2024,29
6/17/2024,107
6/18/2024,107
6/19/2024,84
6/20/2024,105
6/21/2024,115
6/22/2024,1
6/23/2024,1
6/24/2024,92
6/25/2024,189
6/26/2024,148
6/27/2024,98
6/28/2024,87
7/1/2024,106
7/2/2024,77
7/3/2024,109
7/4/2024,254
7/5/2024,195
7/8/2024,77
7/9/2024,115
7/10/2024,74
7/11/2024,170
7/12/2024,30
7/15/2024,192
7/16/2024,39
7/17/2024,180
7/18/2024,75
7/19/2024,134
7/20/2024,5
7/21/2024,26
7/22/2024,63
7/23/2024,155
7/24/2024,294
7/25/2024,112
7/26/2024,174
7/28/2024,44
7/29/2024,198
7/30/2024,129
7/31/2024,122
8/1/2024,91
8/2/2024,221
8/3/2024,13
8/5/2024,54
8/6/2024,151
8/7/2024,95
8/8/2024,177
8/9/2024,162
8/11/2024,17
8/12/2024,129
8/13/2024,119
8/14/2024,58
8/15/2024,77
8/16/2024,135
8/18/2024,41
8/19/2024,260
8/20/2024,129
8/21/2024,104
8/22/2024,165
8/23/2024,88
8/25/2024,22
8/26/2024,133
8/27/2024,112
8/28/2024,235
8/29/2024,87
8/30/2024,59
9/2/2024,177
9/3/2024,180
9/4/2024,92
9/5/2024,77
9/6/2024,163
9/7/2024,35
9/8/2024,38
9/9/2024,122
9/10/2024,52
9/11/2024,330
9/12/2024,187
9/13/2024,34
9/16/2024,2
9/17/2024,90
9/18/2024,66
9/19/2024,69
9/20/2024,269
9/21/2024,10
9/22/2024,70
9/23/2024,91
9/24/2024,165
9/25/2024,141
9/26/2024,94
9/27/2024,153
9/30/2024,141
10/1/2024,21
10/2/2024,170
10/3/2024,119
10/4/2024,140
10/6/2024,28
10/7/2024,188
10/8/2024,167
10/9/2024,216
10/10/2024,123
10/11/2024,98
10/14/2024,164
10/15/2024,61
10/16/2024,104
10/17/2024,62
10/18/2024,135
10/19/2024,14
10/21/2024,188
10/22/2024,63
10/23/2024,364
10/24/2024,190
